"name","counts","id","artistart","song_names_list"
"Beyoncé",44,"6vWDO969PvNqNYHIOW5v0m","https://i.scdn.co/image/ab6761610000e5eb247f44069c0bd1781df2f785","1.03' Bonnie & Clyde,2.I Was Here,3.Single Ladies (Put a Ring on It),4.Halo,5.CUFF IT,6.Schoolin' Life,7.Party,8.Until The End of Time,9.Love On Top,10.ALIEN SUPERSTAR,11.Love On Top,12.CUFF IT,13.ALIEN SUPERSTAR,14.Love Drought,15.CUFF IT,16.CUFF IT,17.MOVE,18.CUFF IT,19.I'M THAT GIRL,20.Rocket,21.Rocket,22.Speechless,23.CUFF IT,24.Suga Mama,25.Single Ladies (Put a Ring on It),26.CUFF IT,27.Poison,28.CUFF IT,29.Signs,30.HEATED,31.Sweet Dreams,32.VIRGO'S GROOVE,33.Crazy In Love,34.Love Drought,35.No Angel,36.Dangerously In Love,37.Pretty Hurts,38.Part II (On The Run),39.Daddy Lessons,40.ALIEN SUPERSTAR,41.Naughty Girl,42.Single Ladies (Put a Ring on It),43.TYRANT,44.03' Bonnie & Clyde"
"H.E.R.",43,"3Y7RZ31TRPVadSFVy1o8os","https://i.scdn.co/image/ab6761610000e5eb417db49cde3ed1c5a65e3514","1.Comfortable,2.Rather Be,3.Best Part,4.Let Me In,5.Best Part,6.Say It Again,7.Every Kind of Way,8.Comfortable,9.Every Kind of Way,10.Best Part,11.Best Part,12.Hard Place,13.Come Through,14.Facts,15.Do To Me,16.Damage,17.I'm Not OK,18.My Song,19.Wait For It,20.Slow Down,21.Fate,22.Hard To Love,23.Closer To Me,24.Every Kind of Way,25.Hard Place,26.Feel A Way,27.Slide,28.Best Part,29.Losing,30.As I Am,31.Univited,32.Chronicles,33.Best Part,34.Every Kind of Way,35.Comfortable,36.Comfortable,37.Losing,38.Could've Been ,39.Damage,40.Best Part,41.Damage,42.Could've Been ,43.Paradise"
"Victoria Monét",19,"63XBtGSEZINSyXylZxEUbv","https://i.scdn.co/image/ab6761610000e5eb8aa5ecea5e4cfe121164fbfb","1.We Might Even Be Falling In Love (Interlude),2.Touch Me,3.Touch Me,4.Touch Me,5.Touch Me,6.Go There With You,7.We Might Even Be Falling In Love (Interlude),8.More Of You,9.Touch Me,10.Moment,11.We Might Even Be Falling In Love (Interlude),12.F.U.C.K,13.Moment,14.Girls Need Love (Girls Mix),15.Alright,16.Stop (Askin' Me 4Shyt),17.Coastin',18.More Of You,19.Touch Me"
"Kehlani",17,"0cGUm45nv7Z6M6qdXYQGTX","https://i.scdn.co/image/ab6761610000e5eb7c1477b5efba46636dbe1874","1.Touch Me,2.Touch Me,3.Water,4.Touch Me,5.Feels,6.Honey,7.Can I,8.1st Position ,9.Honey,10.Morning ,11.Distraction,12.Distraction,13.Body Count (Remix),14.Can I,15.You Know Wassup,16.Nunya,17.Touch Me"
"USHER",17,"23zg3TcAtWQy7J6upgbUnj","https://i.scdn.co/image/ab6761610000e5eb716114797a4a644c67c5fa72","1.Confessions Part II,2.Caught Up,3.Bad Girl,4.Bad Girl,5.Confessions Part II,6.Superstar,7.Crush,8.Yeah!,9.Good Love,10.Can U Handle It?,11.U Got It Bad,12.U Don't Have to Call,13.There Goes My Baby,14.OMG,15.Hey Daddy (Daddy's Home),16.Burn ,17.Bad Girl"
"JAY-Z",16,"3nFkdlSjzX9mRTtwJOzDYB","https://i.scdn.co/image/ab6761610000e5ebc75afcd5a9027f60eaebb5e4","1.03' Bonnie & Clyde,2.Best Of Me (Part 2),3.Best Of Me (Part 2),4.Crazy In Love,5.The City Is Mine,6.Allure,7.D'evils,8.Part II (On The Run),9.Oceans,10.Fuck All Nite,11.More Money More Cash Moe Hoes,12.Feelin' It,13.U Don't Know,14.Imaginary Players,15.What More Can I Say,16.03' Bonnie & Clyde"
"Whitney Houston",12,"6XpaIBNiVzIetEPCWDvAFP","https://i.scdn.co/image/ab6761610000e5ebcd9f60ab57585bf3b77ecc51","1.I Believe In You And Me,2.It's Not Right But It's Okay,3.I Have Nothing,4.I Will Always Love You,5.I Will Always Love You,6.How Will I Know,7.I Will Always Love You,8.Count On Me,9.Greatest Love of All,10.Jesus Loves Me,11.Saving All My Love for You,12.Jesus Loves Me"
"Janelle Monáe",11,"6ueGR6SWhUJfvEhqkvMsVs","https://i.scdn.co/image/ab6761610000e5eb5dab878686269b7b8f4c3ab1","1.Make Me Feel,2.Yoga,3.Dirty Computer,4.Screwed,5.Make Me Feel,6.Make Me Feel,7.Electric Lady,8.A Dry Red,9.Lipstick Lover,10.Lipstick Lover,11.Float"
"Janet Jackson",10,"4qwGe91Bz9K2T8jXTZ815W","https://i.scdn.co/image/ab6761610000e5eb0f883de4fcc010b48b267915","1.Rhythm Nation,2.I Want You ,3.Discipline,4.Would You Mind,5.Rhythm Nation,6.Rhythm Nation,7.Rhythm Nation,8.Funny How Time Flies (When You're Having Fun),9.Any Time Any Place,10.Would You Mind"
"Megan Thee Stallion",9,"181bsRPaVXVlUKXrxwZfHK","https://i.scdn.co/image/ab6761610000e5eb9bc4a474fc62e6945069f98b","1.Thot Shit,2.Butter,3.Megan Monday Freestyle,4.Body,5.Thot Shit,6.Hot Girl Summer,7.What's New,8.Bongos,9.Plan B"
