"genre","freq","artist_names_list","genreart"
"r&b",106,"Janelle Monáe, Bobby V., Jazmine Sullivan, H.E.R., Victoria Monét, T-Pain, Jagged Edge, SZA, Ty Dolla $ign, DAY26, Keri Hilson, Beyoncé, Missy Elliott, Kelly Rowland, 112, Mario, Bryson Tiller, Normani, Ne-Yo, Danity Kane, Aaliyah, SWV, Mýa, Miguel, Jamie Foxx, Lloyd, Kehlani, Brandy, Xscape, Tank, Anita Baker, Teyana Taylor, USHER, Summer Walker, Jhené Aiko, Jeremih, Monica, Brooke Valentine, Jodeci, Ms. Lauryn Hill, Ashanti, Alicia Keys, Boyz II Men, August Alsina, Robin Thicke, Ciara, Deborah Cox, Tamia, Dru Hill, Brent Faiyaz, Case, Tony! Toni! Toné!, Destiny's Child, Next, Mary J. Blige, Lil' Kim, Floetry, Janet Jackson, TLC, Chrisette Michele, Amel Larrieux, Faith Evans, Mase, Kiana Ledé, Brian McKnight, Tevin Campbell, Ella Mai, Jill Scott, Kenny Lattimore, Sisqo, Kandi, Chris Brown, Ginuwine, Blackstreet, Chloe x Halle, PARTYNEXTDOOR, Jaheim, Trey Songz, Joe, 6LACK, Solange, Tyrese, Charlie Wilson, Babyface, Michael Jackson, Avant, KeKe Wyatt, Wale, Toni Braxton, Tinashe, Jon B., dvsn, Sevyn Streeter, India.Arie, Anthony Hamilton, Queen Naija, Lil' Mo, Fantasia, Big Sean, Erykah Badu, H-Town, Teena Marie, Pretty Ricky, Tweet, Keyshia Cole, Bow Wow","https://www.dropbox.com/scl/fi/3wutj2zelwo6x305m4def/1.png?rlkey=0ek6mbo8smvaidcf7mxszseoc&raw=1"
"urban contemporary",91,"Bobby V., Jazmine Sullivan, T-Pain, Jagged Edge, DAY26, Keri Hilson, Missy Elliott, Kelly Rowland, 112, Mario, Ne-Yo, Danity Kane, Maze, DeBarge, Aaliyah, SWV, Mýa, Miguel, Jamie Foxx, Rihanna, Lloyd, Cheryl Lynn, Brandy, Xscape, Anita Baker, Teyana Taylor, USHER, Jeremih, Monica, Brooke Valentine, Jodeci, Ashanti, Boyz II Men, Fabolous, August Alsina, Robin Thicke, Ciara, Deborah Cox, Tamia, Dru Hill, Tony! Toni! Toné!, Destiny's Child, Next, Mary J. Blige, Lil' Kim, Mariah Carey, Floetry, Janet Jackson, TLC, Chrisette Michele, Amel Larrieux, Faith Evans, Mase, Brian McKnight, Tevin Campbell, Ella Mai, Jill Scott, Sisqo, John Legend, Ginuwine, Blackstreet, PARTYNEXTDOOR, Jaheim, Trey Songz, Joe, Nelly, Solange, Tyrese, Charlie Wilson, Shalamar, Babyface, Evelyn ""Champagne"" King, The Whispers, Avant, KeKe Wyatt, Toni Braxton, Jon B., Sevyn Streeter, India.Arie, Anthony Hamilton, Kelis, Ja Rule, Lil' Mo, Fantasia, Loose Ends, H-Town, Teena Marie, Pretty Ricky, Tweet, Keyshia Cole, Bow Wow","https://www.dropbox.com/scl/fi/h0fotzazhmzxxch18nt7m/2.png?rlkey=mk3wrtz4zgvno9lq4epsblp51&raw=1"
"pop",77,"SZA, Pharrell Williams, Beyoncé, Doja Cat, JoJo, Normani, Ne-Yo, Rihanna, BTS, Megan Thee Stallion, The Pussycat Dolls, FLETCHER, Hayley Kiyoko, Dua Lipa, Cardi B, Kehlani, USHER, Ariana Grande, Alicia Keys, Ciara, Nicki Minaj, Christina Aguilera, Fall Out Boy, The 1975, Paramore, Billie Eilish, Khalid, Fifth Harmony, The Neighbourhood, Taylor Swift, P!nk, Destiny's Child, Ed Sheeran, Conan Gray, Mariah Carey, Camila Cabello, Whitney Houston, James Arthur, Justin Timberlake, Katy Perry, The Weeknd, John Legend, will.i.am, Bastille, Olly Alexander (Years & Years), Sam Smith, Sia, Panic! At The Disco, Little Mix, Avril Lavigne, Lady Gaga, Sofia Carson, Carly Rae Jepsen, Post Malone, ZAYN, 5 Seconds of Summer, Flo Rida, Timbaland, Tori Kelly, Bruno Mars, Demi Lovato, Adele, Tinashe, Zedd, Olivia Rodrigo, Jason Mraz, blackbear, *NSYNC, Hailee Steinfeld, Hannah Montana, Natasha Bedingfield, BLACKPINK, Selena Gomez, Zendaya, Melanie Martinez, WILLOW, Miley Cyrus","https://www.dropbox.com/scl/fi/x6gz5cvdqf4on71sxavtc/3.png?rlkey=1uc56a9vpcd10hn7hh9yzonf4&raw=1"
"rap",74,"Lil Wayne, H.E.R., T-Pain, Kanye West, SZA, Missy Elliott, Bryson Tiller, Ludacris, LL COOL J, JAY-Z, Megan Thee Stallion, Busta Rhymes, Cardi B, Kehlani, Pusha T, Yo Gotti, USHER, Summer Walker, 2Pac, Dr. Dre, The Notorious B.I.G., Drake, Fabolous, T.I., Nicki Minaj, Gucci Mane, Brent Faiyaz, Lil' Kim, Diddy, Ella Mai, N.W.A., Juice WRLD, DJ Khaled, Chris Brown, YG, Cordae, Lil Durk, G-Eazy, Lil Baby, Kendrick Lamar, Migos, Metro Boomin, French Montana, PARTYNEXTDOOR, Roddy Ricch, Nelly, 6LACK, Offset, Post Malone, B.o.B, Waka Flocka Flame, Wale, Kodak Black, Juicy J, 2 Chainz, J. Cole, 50 Cent, Bone Thugs-N-Harmony, Childish Gambino, Jeezy, Nas, DMX, Ja Rule, Rick Ross, Big Sean, 21 Savage, Eminem, Meek Mill, PnB Rock, Freddie Gibbs, Ice Cube, Young Money, Bow Wow, Snoop Dogg","https://www.dropbox.com/scl/fi/0oowpy4ywu8944pv6rm2v/4.png?rlkey=bfip6phno5tmp92nah11bt7tw&raw=1"
"hip hop",58,"Lil Wayne, T-Pain, Kanye West, Ty Dolla $ign, Missy Elliott, Ludacris, LL COOL J, JAY-Z, Busta Rhymes, Pusha T, 2Pac, Dr. Dre, Big Boi, EPMD, Fugees, Ms. Lauryn Hill, The Notorious B.I.G., Drake, Fabolous, T.I., Gucci Mane, Lil' Kim, Mase, Diddy, N.W.A., DJ Khaled, YG, Cordae, Lil Durk, Kendrick Lamar, Migos, French Montana, Nelly, Offset, André 3000, Will Smith, Wreckx-N-Effect, 2 Chainz, J. Cole, 50 Cent, Bone Thugs-N-Harmony, Geto Boys, Childish Gambino, Nas, Mobb Deep, DMX, AZ, Ja Rule, Rick Ross, Big Sean, 21 Savage, Makaveli, Eminem, Meek Mill, Freddie Gibbs, Anderson .Paak, Ice Cube, Snoop Dogg","https://www.dropbox.com/scl/fi/vijuo6mkssrree55tz26h/7.png?rlkey=jc13i7mpdqlvev1siee99vgpy&raw=1"
"dance pop",55,"T-Pain, Pharrell Williams, Keri Hilson, Missy Elliott, Kelly Rowland, Doja Cat, Mario, Ludacris, JoJo, Ne-Yo, Danity Kane, Aaliyah, The Pussycat Dolls, The Veronicas, Dua Lipa, Brandy, USHER, Lil Jon, Ashanti, Robin Thicke, Ciara, Christina Aguilera, P!nk, Robyn, Destiny's Child, Mary J. Blige, Lil' Kim, Mariah Carey, Camila Cabello, Whitney Houston, Janet Jackson, TLC, Diddy, Justin Timberlake, Akon, will.i.am, Olly Alexander (Years & Years), Avril Lavigne, Lady Gaga, Trey Songz, Nelly, Carly Rae Jepsen, Flo Rida, B.o.B, Timbaland, Bruno Mars, Toni Braxton, Tinashe, Jason Mraz, *NSYNC, Natasha Bedingfield, Kelis, Ja Rule, Dido, Bow Wow","https://www.dropbox.com/scl/fi/pc1syf9qzfwryvspc538n/5.png?rlkey=3nh6qq4os2y69rhr7uyc6bxoo&raw=1"
"contemporary r&b",51,"Bobby V., Jagged Edge, 112, DeBarge, Aaliyah, SWV, Mýa, Jamie Foxx, Brandy, Xscape, USHER, Monica, Jodeci, Boyz II Men, Deborah Cox, Tamia, Dru Hill, Case, Tony! Toni! Toné!, Next, Floetry, TLC, Chrisette Michele, Faith Evans, Mase, Brian McKnight, Tevin Campbell, Kenny Lattimore, Sisqo, Kandi, Ginuwine, Blackstreet, Glenn Lewis, Jaheim, Joe, Tyrese, Charlie Wilson, Chlöe, Babyface, After 7, Avant, KeKe Wyatt, Toni Braxton, Jon B., Anthony Hamilton, Lil' Mo, Fantasia, Loose Ends, H-Town, Teena Marie, Tweet","https://www.dropbox.com/scl/fi/vmn8v62yc74x21ti6j10k/6.png?rlkey=j74zvrycbgrkkcadojn3ihdcx&raw=1"
"hip pop",47,"Bobby V., Jazmine Sullivan, DAY26, Keri Hilson, Missy Elliott, Kelly Rowland, 112, Danity Kane, Aaliyah, SWV, Mýa, Jamie Foxx, Lloyd, Brandy, Xscape, Teyana Taylor, Monica, Brooke Valentine, Ashanti, Ciara, Nicki Minaj, Tamia, Mary J. Blige, Lil' Kim, Floetry, TLC, Chrisette Michele, Faith Evans, Mase, Diddy, Jill Scott, Sisqo, Shawnna, Kandi, Ginuwine, Tyrese, Khia, KeKe Wyatt, Sevyn Streeter, Kelis, Ja Rule, Lil' Mo, Fantasia, Pretty Ricky, Tweet, Keyshia Cole, Bow Wow","https://www.dropbox.com/scl/fi/fyf4sjq274ndqn2a4ni8b/8.png?rlkey=a0ee0ipxvelhy91tny81aqi7y&raw=1"
"pop rap",45,"Lil Wayne, T-Pain, Ty Dolla $ign, Missy Elliott, Ludacris, JAY-Z, Jamie Foxx, Lloyd, Busta Rhymes, Pusha T, Jeremih, Lil Jon, Drake, Fabolous, August Alsina, Robin Thicke, T.I., Gucci Mane, Lil' Kim, Diddy, DJ Khaled, YG, Cordae, Lil Durk, G-Eazy, Migos, French Montana, Nelly, Offset, Will Smith, Flo Rida, B.o.B, Timbaland, Waka Flocka Flame, Wale, Juicy J, 2 Chainz, 50 Cent, Ja Rule, Big Sean, IDK, Meek Mill, Young Money, Bow Wow, Snoop Dogg","https://www.dropbox.com/scl/fi/upp3wu4yr333a77m196si/9.png?rlkey=792dc6n4saw16ndkvxt0xxot2&raw=1"
"trap",44,"Lil Wayne, T-Pain, Ty Dolla $ign, Big K.R.I.T., Ludacris, Jamie Foxx, Lloyd, Pusha T, Yo Gotti, Jeremih, Lil Jon, Fabolous, August Alsina, Trinidad James, T.I., Gucci Mane, YG, Cordae, Lil Durk, Lil Baby, Migos, French Montana, Twista, Trey Songz, Roddy Ricch, 6LACK, Offset, Waka Flocka Flame, Roscoe Dash, Wale, Kodak Black, Juicy J, 2 Chainz, Jeezy, Rick Ross, Big Sean, Meek Mill, PnB Rock, Shy Glizzy, Pretty Ricky, Yung Bleu, Young Money, Swizz Beatz, Bow Wow","https://www.dropbox.com/scl/fi/rx9a7eo4jkm2mi9htl7rn/10.png?rlkey=nogecx22lo078rmp541l67hr0&raw=1"
